Year,Production_1000t,Area_1000ha,Yield_kgha,Rainfall_mm,Temp_C,NDVI,Bearing_Trees_Millions,ONI_lagged9,Incidence_Index_pct,CWD_pct,BCTB_pct,Fertilizer_kgha,Soil_N_pct,Soil_P_ppm
1990,117,322,363.3540373,1240,23.78,0.56,128.8,0.65,10,0,12,1.2,0.194,9.2
1991,118,325,363.0769231,1225,23.8,0.55,130,0.55,15,0,18,1.8,0.194,9.2
1992,119,328,362.804878,1205,23.82,0.53,131.2,0.45,20,0,25,1.8,0.193,9.1
1993,120,330,363.6363636,1265,23.85,0.59,132,0.35,25,2,30,1.8,0.193,9.1
1994,121,332,364.4578313,1230,23.88,0.56,132.8,0.25,30,5,37,1.8,0.192,9
1995,122,335,364.1791045,1250,23.9,0.57,134,0.15,35,10,35,1.8,0.192,9
1996,180,175,1028.571429,1280,23.92,0.61,135.2,0.05,40,18,30,1.8,0.192,8.9
1997,123,338,363.9053254,1195,23.95,0.52,136,-0.05,45,28,25,1.8,0.191,8.9
1998,124,340,364.7058824,1305,23.98,0.62,136.8,-0.15,50,38,20,1.8,0.191,8.8
1999,125,342,365.497076,1215,24,0.54,138,-0.25,55,48,18,1.8,0.191,8.8
2000,126,345,365.2173913,1245,24.02,0.56,139.2,-0.35,60,56,15,1.8,0.19,8.7
2001,127,348,364.9425287,1220,24.05,0.53,140,-0.45,55,60,12,1.8,0.19,8.7
2002,162,350,365.7142857,1200,24.08,0.51,140.8,-0.55,50,58,10,1.8,0.189,8.7
2003,165,352,366.4772727,1260,24.1,0.59,142,-0.6,45,52,8,1.8,0.189,8.6
2004,164,355,366.1971831,1235,24.12,0.56,143.2,-0.65,40,45,6,1.8,0.189,8.6
2005,132,358,365.9217877,1255,24.15,0.57,144,-0.7,56,38,5,1.8,0.188,8.5
2006,174,360,366.6666667,1270,24.18,0.6,144.8,-0.75,50,30,4,3,0.188,8.5
2007,133,362,367.4033149,1180,24.2,0.5,146,-0.8,45,22,3.5,3,0.188,8.4
2008,134,365,367.1232877,1290,24.22,0.62,147.2,-0.85,40,15,3,3,0.187,8.4
2009,174,368,366.8478261,1210,24.25,0.54,148,-0.9,35,10,3,3,0.187,8.3
2010,192,370,367.5675676,1240,24.28,0.56,148.8,-0.95,30,6,3,3,0.186,8.3
2011,186,372,368.2795699,1225,24.3,0.55,150,-1,25,4,3,3,0.186,8.2
2012,234,375,368,1205,24.32,0.53,151.2,-1.05,20,2,0,3,0.186,8.2
2013,216,378,367.7248677,1265,24.35,0.59,152,-1.1,15,1.5,0,3,0.185,8.2
2014,195,380,368.4210526,1230,24.38,0.56,152,-1.15,12,1,0,3,0.185,8.1
2015,240,382,369.1099476,1250,24.4,0.57,152,-1.2,10,0.8,0,3,0.184,8.1
2016,276,385,368.8311688,1190,24.42,0.51,152,-1.25,8,0.5,0,4.2,0.184,8
2017,267,388,368.556701,1285,24.45,0.6,155.2,-1.3,6,0.4,0,4.2,0.184,8
2018,444,390,369.2307692,1215,24.48,0.54,158.4,-1.25,5,0.3,0,4.2,0.183,7.9
2019,462,170,1229.411765,1245,24.5,0.56,209,-1.2,4,0.3,0,4.2,0.183,7.9
2020,423,190,1526.315789,1220,24.52,0.53,290,-1.15,3.5,0.2,0,4.2,0.183,7.8
2021,507,170,2194.117647,1300,24.55,0.63,373,-1.1,3,0.2,0,5.8,0.182,7.8
2022,432,170,2194.117647,1403,24.58,0.65,373,-1.05,3.9,0.2,0,5.8,0.182,7.8
2023,411,170,2258.823529,1299,24.6,0.6,384,-1,3.5,0,0,5.8,0.181,7.7
2024,411,170,2417.647059,1320,24.62,0.62,411,-0.95,3,0,0,5.8,0.181,7.7
