year,annual_avg_temp_celsius
1961,22.216497
1962,21.909859
1963,21.810326
1964,22.031332
1965,22.518042
1966,22.972086
1967,22.276655
1968,22.16289
1969,22.64065
1970,22.411715
1971,22.025965
1972,22.324898
1973,22.680708
1974,22.310778
1975,22.171371
1976,22.289038
1977,22.402765
1978,22.554907
1979,22.800407
1980,23.009481
1981,22.823606
1982,22.83664
1983,23.039473
1984,22.679838
1985,22.380178
1986,22.476059
1987,23.163141
1988,23.046005
1989,22.710531
1990,22.856848
1991,22.768257
1992,22.917755
1993,23.074905
1994,22.905533
1995,23.10695
1996,22.81531
1997,23.210337
1998,23.466326
1999,22.802605
2000,23.07572
2001,22.885324
2002,23.294777
2003,23.424767
2004,23.405327
2005,23.676542
2006,23.213844
2007,23.241224
2008,23.12337
2009,23.581331
2010,23.50844
2011,23.15396
2012,23.157715
2013,23.311378
2014,23.517189
2015,23.735262
2016,23.96427
2017,23.819078
2018,23.342026
2019,23.690924
2020,23.283707
2021,23.610624
2022,23.471235
2023,23.928759
2024,24.151678
